id;bandas;comuna;cut_comuna;region;cut_region;titulo;fuente;url;fecha;bandas_nombre
75782bb50111b03f4a7751c0ef5dd23f;tren aragua;Alto Hospicio;1107;Tarapacá;1;Cadáver encontrado en las cercanías de toma en Alto Hospicio: PDI estableció la participación de terceras personas;cnnchile;https://www.cnnchile.com/pais/cadaver-pdi-diligencias-alto-hospicio_20230901/;2023-09-01;Tren de Aragua
24e4f364da03dbbddba2294f5c2d72bd;ejército liberación;NA;NA;NA;NA;Los cuadernos inéditos del Guatón Romo: memorias de un torturador de su puño y letra;ciper;https://www.ciperchile.cl/2023/08/27/los-cuadernos-ineditos-del-guaton-romo-memorias-de-un-torturador-de-su-puno-y-letra/;2023-08-27;Ejército de Liberación
0b87c3b7f0ae9e3151a9cd1211b39ae7;tren aragua;Maule;7105;Maule;7;"""Rápidamente se va a reconstituir"": Fiscal emite advertencia tras desarticulación de célula del Tren de Aragua en Talca";meganoticias;https://www.meganoticias.cl/nacional/423688-tren-de-aragua-celula-desarticulada-talca-maule-fiscal-francisco-soto-27-08-2023.html;2023-08-27;Tren de Aragua
c5e46bb0db97469d735c797687930b65;cartel jalisco;Melipilla;13501;Metropolitana de Santiago;13;Detienen en Melipilla a hombre vinculado al cartel Jalisco Nueva Generación;lanacion;https://www.lanacion.cl/detienen-en-melipilla-a-hombre-vinculado-al-cartel-jalisco-nueva-generacion/;2023-08-25;Cartel de Jalisco
25ae8cc2b60f07d0f88a0150d7d2db54;tren aragua;NA;NA;NA;NA;Operativo en Talca y Estación Central culmina con ocho detenidos vinculados al “Tren de Aragua”;adnradio;https://www.adnradio.cl/policial/2023/08/24/operativo-en-talca-y-estacion-central-culmina-con-ocho-detenidos-vinculados-al-tren-de-aragua.html;2023-08-24;Tren de Aragua
478fa87c165ebdf6cb506b6874b3d234;cartel jalisco;Melipilla;13501;Metropolitana de Santiago;13;Detienen en Melipilla a chileno vinculado al Cartel Jalisco Nueva Generación: tenía granada, armas y 12 millones en efectivo;latercera;https://www.latercera.com/nacional/noticia/detienen-en-melipilla-a-chileno-vinculado-al-cartel-jalisco-nueva-generacion-tenia-granada-otras-armas-y-12-millones-en-efectivo/U5DJ7C42TVAOJEXSAIVLJAQRRU/;2023-08-24;Cartel de Jalisco
b5fa9dad51a77c246c8396c7541a0a29;tren aragua;Villa Alemana;5804;Valparaíso;5;Desarticulan célula del Tren de Aragua dedicada al homicidio y secuestro en Talca;meganoticias;https://www.meganoticias.cl/nacional/423513-desarticulan-celula-del-tren-de-aragua-homicidio-secuestro-talca-24-08-2023.html;2023-08-24;Tren de Aragua
5a5456bf9a1102498ac345d28f84e52b;cartel jalisco;NA;NA;NA;NA;Allanan domicilio de reo vinculado al Cartel Jalisco Nueva Generación: Encontraron una granada y otros armamentos;meganoticias;https://www.meganoticias.cl/nacional/423377-cartel-jalisco-nueva-generacion-allanamiento-melipilla-23-08-2023.html;2023-08-23;Cartel de Jalisco
6da6f196a23a45bd566394a5e77a2f5e;tren aragua;NA;NA;NA;NA;"Fiscalía de Arica imputa cargos contra dos locales nocturnos ligados a ""Los Gallegos"" por explotación sexual";emol;http://www.emol.com/noticias/Nacional/2023/08/16/1104289/formalizan-locales-nocturnos-trata-personas.html;2023-08-16;Tren de Aragua
2dc2cac4283a8a1bf2bd9dd6ba83063a;tren aragua;NA;NA;NA;NA;Tren de Aragua en Chile: Acusan a dos locales nocturnos por trata de personas con fines de explotación sexual;meganoticias;https://www.meganoticias.cl/nacional/422743-tren-de-aragua-locales-nocturnos-trata-de-personas-explotacion-sexual-arica-formalizados-16-8-2023.html;2023-08-16;Tren de Aragua
bbd27b54d2ff5c555c5dec523d5f4fdb;cartel sinaloa;NA;NA;NA;NA;Asesinato de Fernando Villavicencio conmociona a Ecuador;radiouchile;https://radio.uchile.cl/2023/08/10/el-narco-se-instala-en-un-pais-solo-con-la-complicidad-del-poder-politico/;2023-08-10;Cartel de Sinaloa
532572bf69ad3bd7092bd6701d4349c2;tren aragua;Iquique;1101;Tarapacá;1;Vinculada al Tren de Aragua: PDI desarticula banda criminal dedicada al tráfico de drogas en Tarapacá;adnradio;https://www.adnradio.cl/policial/2023/08/07/vinculada-al-tren-de-aragua-pdi-desarticula-banda-criminal-dedicada-al-trafico-de-drogas-en-tarapaca.html;2023-08-07;Tren de Aragua
220c832de74c6a25bc3956aa4cd52910;tren aragua;Iquique;1101;Tarapacá;1;Desarticulan organización criminal vinculada al Tren de Aragua en Alto Hospicio: Trataban de ingresar 103 kilos de marihuana;cnnchile;https://www.cnnchile.com/pais/desarticulan-banda-criminal-tren-aragua-alto-hospicio-marihuana_20230807/;2023-08-07;Tren de Aragua
fcc6373911ccd2d3c0c6a5932f81abbf;tren aragua;NA;NA;NA;NA;"""Operación Cava"": PDI desarticuló banda criminal vinculada al Tren de Aragua en Tarapacá";cooperativa;https://www.cooperativa.cl//noticias/pais/policial/drogas/operacion-cava-pdi-desarticulo-banda-criminal-vinculada-al-tren-de/2023-08-07/163421.html;2023-08-07;Tren de Aragua
76b687871a7eaa615c9a4794b07932d1;tren aragua;Alto Hospicio;1107;Tarapacá;1;Cae nueva facción del Tren de Aragua: Detienen a integrantes mientras hacían transacción de más de 100 kilos de droga;meganoticias;https://www.meganoticias.cl/nacional/421993-detienen-integrantes-faccion-tren-aragua-100-kilos-de-droga-07-08-2023.html;2023-08-07;Tren de Aragua
8cca912d2c44efbaf719057df22edbcf;tren aragua;Traiguén;9210;La Araucanía;9;Resistencia Mapuche Malleco (RMM): El perfil de la organización detrás del ataque en Traiguén y casi 30 en lo que va del año;emol;http://www.emol.com/noticias/Nacional/2023/08/04/1103106/resistencia-mapuche-malleco-ataque-traiguen.html;2023-08-04;Tren de Aragua
8cca912d2c44efbaf719057df22edbcf;cartel jalisco;Traiguén;9210;La Araucanía;9;Resistencia Mapuche Malleco (RMM): El perfil de la organización detrás del ataque en Traiguén y casi 30 en lo que va del año;emol;http://www.emol.com/noticias/Nacional/2023/08/04/1103106/resistencia-mapuche-malleco-ataque-traiguen.html;2023-08-04;Cartel de Jalisco
5bb26ddc33de72ee2c7cf37a7d038d2e;tren aragua;NA;NA;NA;NA;Bolsillo Familiar Electrónico: Conoce los cambios que se aplicarán a partir de septiembre;lanacion;https://www.lanacion.cl/bolsillo-familiar-electronico-conoce-los-cambios-que-se-aplicaran-a-partir-de-septiembre/;2023-08-02;Tren de Aragua
e1942819a26f289ac9f451aa178f894a;tren aragua;NA;NA;NA;NA;Ayuno Intermitente: Estrategia efectiva para reducir peso pero equivalente a una dieta con restricción calórica común;lanacion;https://www.lanacion.cl/ayuno-intermitente-estrategia-efectiva-para-reducir-peso-pero-equivalente-a-una-dieta-con-restriccion-calorica-comun/;2023-08-01;Tren de Aragua
f57a188e756cc18baf875add39f1ed3e;cartel sinaloa;NA;NA;NA;NA;Justicia chilena pide extradición de miembro del Cartel de Sinaloa radicado en México;eldesconcierto;https://www.eldesconcierto.cl/2023/07/28/justicia-chilena-pide-extradicion-de-miembro-del-cartel-de-sinaloa-radicado-en-mexico;2023-07-29;Cartel de Sinaloa
783ad7728cac607c449b7e17a5bcbc62;tren aragua;Calama;2201;Antofagasta;2;Día Mundial contra Trata de Personas: aumentan querellas en Chile por este delito;radiouchile;https://radio.uchile.cl/2023/07/29/dia-mundial-contra-trata-de-personas-aumentan-querellas-en-chile-por-este-delito/;2023-07-29;Tren de Aragua
47f310c74cd239e49a0ed76fd9e6431a;cartel sinaloa;NA;NA;NA;NA;Justicia chilena pide extradición de miembro del cártel de Sinaloa radicado en México;cnnchile;https://www.cnnchile.com/pais/justicia-chilena-extradicion-miembro-cartel-sinaloa_20230728/;2023-07-28;Cartel de Sinaloa
